miRNA gene ID (HUGO);additional_alias
MIR548H5;MIR548H
MIR548I1;MIR548I
MIR548I2;MIR548I
MIR548I3;MIR548I
MIR548I4;MIR548I
MIR548O2;MIR548O
MIR548X2;MIR548X
MIR550A1;MIR550A
MIR550A2;MIR550A
MIR550A3;MIR550A
MIR550B1;MIR550B
MIR550B2;MIR550B
MIR5583-1;MIR5583
MIR5583-2;MIR5583
MIR5692A1;MIR5692A
MIR5692A2;MIR5692A
MIR5692C1;MIR5692C
MIR5692C2;MIR5692C
MIR5701-1;MIR5701
MIR5701-2;MIR5701
MIR5701-3;MIR5701
MIR6089-1;MIR6089
MIR6089-2;MIR6089
MIR6511A1;MIR6511A
MIR6511A2;MIR6511A
MIR6511A3;MIR6511A
MIR6511A4;MIR6511A
MIR6511B1;MIR6511B
MIR6511B2;MIR6511B
MIR6724-1;MIR6724
MIR6724-2;MIR6724
MIR6724-3;MIR6724
MIR6724-4;MIR6724
MIR6770-1;MIR6770
MIR6770-2;MIR6770
MIR6770-3;MIR6770
MIR6859-1;MIR6859
MIR6859-2;MIR6859
MIR6859-3;MIR6859
MIR6859-4;MIR6859
MIR6862-1;MIR6862
MIR6862-2;MIR6862
MIR7-1;MIR7
MIR7-2;MIR7
MIR7-3;MIR7
MIR7973-1;MIR7973
MIR7973-2;MIR7973
MIR8069-1;MIR8069
MIR8069-2;MIR8069
MIR8071-1;MIR8071
MIR8071-2;MIR8071
MIR9-1;MIR9
MIR9-2;MIR9
MIR92A1;MIR92A
MIR92A2;MIR92A
MIR9-3;MIR9
MIR941-1;MIR941
MIR941-2;MIR941
MIR941-3;MIR941
MIR941-4;MIR941
MIR941-5;MIR941
MIR9902-1;MIR9902
MIR9902-2;MIR9902
